"year" "plot" "species" "#adults" "#saplings" "#seedlings"
"248" 2024 "OM2" "Halimium commutatum" 12 3 10
"249" 2024 "OM2" "Halimium halimifolium" 4 0 6
"250" 2024 "OM2" "Juniperus phoenicea" 2 3 0
"251" 2024 "OM2" "Lavandula stoechas" 13 5 45
"252" 2024 "OM2" "Pinus pinea" 1 0 0
"253" 2024 "OM2" "Pistacea lentiscus" 0 0 1
"254" 2024 "OM2" "Rosmarinus officinalis" 1 1 2
"255" 2024 "OM2" "Stauracanthus genistoides" 7 1 0
"256" 2024 "OM2" "Thymus mastichina" 0 0 1
"257" 2024 "OM3" "Cistus libanotis" 3 1 10
"258" 2024 "OM3" "Halimium commutatum" 4 1 10
"259" 2024 "OM3" "Halimium halimifolium" 4 5 17
"260" 2024 "OM3" "Helichrysum picardii" 1 0 0
"261" 2024 "OM3" "Juniperus phoenicea" 9 2 6
"262" 2024 "OM3" "Lavandula stoechas" 4 0 12
"263" 2024 "OM3" "Rosmarinus officinalis" 14 1 33
"264" 2024 "OM3" "Stauracanthus genistoides" 4 0 18
"265" 2024 "OM4" "Cistus libanotis" 18 3 17
"266" 2024 "OM4" "Halimium commutatum" 11 2 17
"267" 2024 "OM4" "Halimium halimifolium" 1 0 8
"268" 2024 "OM4" "Juniperus phoenicea" 3 0 4
"269" 2024 "OM4" "Rosmarinus officinalis" 19 5 19
"270" 2024 "OM4" "Thymus mastichina" 1 0 0
"271" 2024 "OM5" "Cistus libanotis" 1 0 2
"272" 2024 "OM5" "Halimium commutatum" 7 0 11
"273" 2024 "OM5" "Halimium halimifolium" 3 0 2
"274" 2024 "OM5" "Juniperus phoenicea" 1 0 9
"275" 2024 "OM5" "Lavandula stoechas" 5 0 2
"276" 2024 "OM5" "Rosmarinus officinalis" 14 0 2
"277" 2024 "OM5" "Stauracanthus genistoides" 1 0 5
"278" 2024 "OM5" "Thymus mastichina" 0 0 2
"279" 2024 "OM6" "Cistus libanotis" 6 0 12
"280" 2024 "OM6" "Halimium commutatum" 1 0 4
"281" 2024 "OM6" "Halimium halimifolium" 1 2 7
"282" 2024 "OM6" "Helichrysum picardii" 2 0 15
"283" 2024 "OM6" "Juniperus phoenicea" 1 1 1
"284" 2024 "OM6" "Lavandula stoechas" 1 0 5
"285" 2024 "OM6" "Rosmarinus officinalis" 7 4 4
"286" 2024 "OM6" "Thymus mastichina" 1 0 4
